date,initiated_volume,proved_volume,finalized_volume,deposited_volume,daily_difference,cumulative_initiated,cumulative_proved,cumulative_finalized,cumulative_deposited
2024-03-14,3483274.975771396,3452678.0649631,3435815.892243908,430701.8204508846,-3052573.155320511,1107499983.4884408,1102755924.2675285,1100531642.6549678,84750869.3076266
2024-03-15,2197517.3329736157,2181167.324974998,2177090.676820329,385075.7160960089,-1812441.6168776068,1109697500.8214145,1104937091.5925035,1102708733.331788,85135945.02372262
2024-03-16,1391635.1208594043,1379354.0628703556,1379660.9879750824,284234.82420501905,-1107400.2966543853,1111089135.9422739,1106316445.6553738,1104088394.3197632,85420179.84792764
2024-03-17,13895361.422120767,13879630.473891623,13865460.911835145,346883.3252572322,-13548478.096863534,1124984497.3643947,1120196076.1292655,1117953855.2315984,85767063.17318487
2024-03-18,4764839.013191938,4758817.303679457,4756649.802468953,387490.92482972407,-4377348.088362214,1129749336.3775866,1124954893.432945,1122710505.0340674,86154554.0980146
2024-03-19,1372841.136346919,1369254.044962958,1359086.6613185026,394260.14822664583,-978580.9881202732,1131122177.5139334,1126324147.477908,1124069591.695386,86548814.24624124
2024-03-20,6769974.300233579,6632425.455465593,6596588.175654369,1722660.4854453881,-5047313.814788191,1137892151.814167,1132956572.9333735,1130666179.8710403,88271474.73168664
2024-03-21,6054181.952973239,5987557.265543191,5946692.883089693,785246.1315146217,-5268935.821458617,1143946333.7671402,1138944130.1989167,1136612872.7541301,89056720.86320126
2024-03-22,7922176.470341441,7878262.060790748,7826049.286625511,858241.7112892802,-7063934.759052161,1151868510.2374816,1146822392.2597075,1144438922.0407557,89914962.57449055
2024-03-23,9040637.302564943,8990327.174041621,8972537.899727117,664883.2130116303,-8375754.089553313,1160909147.5400465,1155812719.433749,1153411459.9404829,90579845.78750218
2024-03-24,14721630.665157197,14683690.015642025,14638409.613937108,1166216.9692521077,-13555413.69590509,1175630778.2052035,1170496409.449391,1168049869.55442,91746062.7567543
